timestep;elec;dhw;occ;gains;EV_carprofile;EV_carcharging_ondemand;ice_carprofile;ICE_fuel_car_0;Car_availability_car_0;ICE_fuel_car_1;Car_availability_car_1;ICE_fuel_car_2;Car_availability_car_2;ICE_fuel_car_3;Car_availability_car_3;ICE_fuel_car_4;Car_availability_car_4;ICE_fuel_car_5;Car_availability_car_5;ICE_fuel_car_6;Car_availability_car_6;ICE_fuel_car_7;Car_availability_car_7;ICE_fuel_car_8;Car_availability_car_8;ICE_fuel_car_9;Car_availability_car_9;ICE_fuel_car_10;Car_availability_car_10;heating;cooling
0.000;280.484;0.000;17.000;1375.119;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;14852.081;0.000
0.250;371.539;0.000;17.000;1435.216;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;14852.081;0.000
0.500;371.539;0.000;17.000;1435.216;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;14729.263;0.000
0.750;280.484;0.000;17.000;1375.119;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;14292.470;0.000
1.000;327.886;0.000;17.000;1406.405;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;13871.603;0.000
1.250;327.886;0.000;17.000;1406.405;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;13512.200;0.000
1.500;380.004;1556.482;17.000;1440.803;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;13138.476;0.000
1.750;525.590;0.000;17.000;1536.889;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;12728.914;0.000
2.000;322.605;0.000;17.000;1402.919;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;12513.702;0.000
2.250;280.484;0.000;17.000;1375.119;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;12259.760;0.000
2.500;488.910;0.000;17.000;1512.681;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;11888.239;0.000
2.750;297.987;0.000;17.000;1389.122;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;11735.530;0.000
3.000;297.987;1907.239;17.000;1389.122;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;11492.340;0.000
3.250;297.987;0.000;17.000;1389.122;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;11347.546;0.000
3.500;297.987;0.000;17.000;1389.122;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;11212.833;0.000
3.750;321.326;0.000;17.000;1407.793;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;11072.955;0.000
4.000;337.371;0.000;17.000;1420.629;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;10946.985;0.000
4.250;444.531;2016.851;17.000;1489.925;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;10792.068;0.000
4.500;280.484;0.000;17.000;1375.119;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;10791.535;0.000
4.750;280.484;0.000;17.000;1375.119;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;10706.334;0.000
5.000;423.034;0.000;17.000;1469.203;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;10556.155;0.000
5.250;280.484;0.000;17.000;1375.119;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;10570.034;0.000
5.500;499.208;0.000;17.000;1519.477;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;10400.104;0.000
5.750;451.806;0.000;17.000;1488.192;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;10378.350;0.000
6.000;338.083;0.000;17.000;1421.198;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;10388.786;0.000
6.250;1493.135;0.000;17.000;2177.920;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;9724.538;0.000
6.500;1575.335;4340.613;17.000;2237.043;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;9623.996;0.000
6.750;1503.670;0.000;17.000;2192.456;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;9599.363;0.000
7.000;1641.508;16660.939;17.000;2294.564;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;9462.796;0.000
7.250;542.079;9031.983;17.000;1579.886;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;9950.459;0.000
7.500;885.745;5612.106;17.000;1821.170;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;9679.902;0.000
7.750;2934.043;0.000;17.000;3163.518;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;8555.002;0.000
8.000;699.043;5283.272;7.000;993.120;0.000;0.000;0.172;0.000;True;0.128;False;0.000;True;0.001;False;0.032;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.011;False;10219.488;0.000
8.250;777.209;8220.858;7.000;1045.857;0.000;0.000;0.172;0.000;True;0.128;False;0.000;True;0.001;False;0.032;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.011;False;10099.088;0.000
8.500;2372.710;9843.108;8.000;2174.532;0.000;0.000;0.172;0.000;True;0.128;False;0.000;True;0.001;False;0.032;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.011;False;9165.850;0.000
8.750;2310.115;7168.588;9.000;2195.195;0.000;0.000;0.172;0.000;True;0.128;False;0.000;True;0.001;False;0.032;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.011;False;9119.181;0.000
9.000;2827.001;2060.695;10.000;2628.347;0.000;0.000;0.172;0.000;True;0.128;False;0.000;True;0.001;False;0.032;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.011;False;8731.403;0.000
9.250;2888.131;5655.950;7.000;2443.523;0.000;0.000;0.172;0.000;True;0.128;False;0.000;True;0.001;False;0.032;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.011;False;8612.450;0.000
9.500;883.386;0.000;7.000;1113.579;0.000;0.000;0.172;0.000;True;0.128;False;0.000;True;0.001;False;0.032;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.011;False;9381.239;0.000
9.750;2193.142;0.000;4.000;1766.941;0.000;0.000;0.172;0.000;True;0.128;False;0.000;True;0.001;False;0.032;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.011;False;8559.112;0.000
