timestep;elec;dhw;occ;gains;EV_carprofile;EV_carcharging_ondemand;ice_carprofile;ICE_fuel_car_0;Car_availability_car_0;ICE_fuel_car_1;Car_availability_car_1;ICE_fuel_car_2;Car_availability_car_2;ICE_fuel_car_3;Car_availability_car_3;ICE_fuel_car_4;Car_availability_car_4;ICE_fuel_car_5;Car_availability_car_5;ICE_fuel_car_6;Car_availability_car_6;ICE_fuel_car_7;Car_availability_car_7;heating;cooling
0.000;249.939;0.000;15.000;1214.960;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;17687.593;0.000
0.250;249.939;0.000;15.000;1214.960;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;16153.400;0.000
0.500;249.939;0.000;15.000;1214.960;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;16226.914;0.000
0.750;549.675;1315.337;15.000;1412.786;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;16135.221;0.000
1.000;476.104;1249.570;15.000;1364.229;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;16221.589;0.000
1.250;249.939;0.000;15.000;1214.960;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;16394.178;0.000
1.500;421.448;1666.094;15.000;1328.156;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;16355.374;0.000
1.750;421.448;0.000;15.000;1328.156;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;16397.282;0.000
2.000;443.697;0.000;15.000;1342.840;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;16417.260;0.000
2.250;453.409;0.000;15.000;1349.250;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;16474.618;0.000
2.500;249.939;2016.851;15.000;1214.960;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;16635.278;0.000
2.750;249.939;0.000;15.000;1214.960;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;16687.126;0.000
3.000;249.939;0.000;15.000;1214.960;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;16736.317;0.000
3.250;249.939;0.000;15.000;1214.960;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;16876.211;0.000
3.500;323.510;0.000;15.000;1263.517;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;16982.935;0.000
3.750;624.918;1622.249;15.000;1462.446;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;16978.001;0.000
4.000;297.419;2542.985;15.000;1246.296;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;17296.468;0.000
4.250;249.939;0.000;15.000;1214.960;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;17480.063;0.000
4.500;480.758;0.000;15.000;1367.952;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;17528.752;0.000
4.750;253.190;0.000;15.000;1217.560;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;17815.798;0.000
5.000;483.372;0.000;15.000;1382.679;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;17860.399;0.000
5.250;375.145;0.000;15.000;1314.284;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;18098.923;0.000
5.500;509.420;0.000;15.000;1404.877;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;18216.007;0.000
5.750;596.292;0.000;15.000;1443.552;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;18378.049;0.000
6.000;616.884;0.000;15.000;1458.448;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;18560.580;0.000
6.250;350.743;1403.026;15.000;1288.956;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;18856.137;0.000
6.500;535.280;0.000;15.000;1419.221;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;18920.161;0.000
6.750;571.594;0.000;15.000;1437.972;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;19073.278;0.000
7.000;502.219;8198.936;15.000;1397.888;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;19269.879;0.000
7.250;447.781;12035.337;15.000;1371.427;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;19423.879;0.000
7.500;1755.167;3266.421;15.000;2232.668;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;18891.896;0.000
7.750;1864.432;3156.810;15.000;2303.522;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;18969.663;0.000
8.000;774.367;10084.253;7.000;1020.079;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;20074.973;0.000
8.250;1229.070;1775.705;5.000;1180.342;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;20063.170;0.000
8.500;3102.092;5370.961;4.000;2348.338;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;19294.090;0.000
8.750;3160.925;9031.983;4.000;2382.719;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;19398.667;0.000
9.000;3216.602;0.000;5.000;2503.662;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;19417.811;0.000
9.250;2351.557;0.000;5.000;1922.357;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;19651.478;0.000
9.500;708.193;0.000;5.000;845.028;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;20235.825;0.000
9.750;1069.260;0.000;4.000;1021.919;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;19824.754;0.000
10.000;510.129;3463.722;4.000;639.925;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;19935.345;0.000
10.250;503.519;1249.570;4.000;638.439;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;20014.912;0.000
10.500;522.284;0.000;4.000;646.804;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;19418.923;0.000
10.750;372.792;1315.337;4.000;541.318;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;19054.650;0.000
11.000;916.770;0.000;3.000;827.232;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;18399.292;0.000
11.250;1980.057;0.000;4.000;1598.783;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;17632.056;0.000
11.500;1535.622;0.000;5.000;1370.896;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;17612.785;0.000
11.750;3159.946;2126.462;5.000;2442.890;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;16568.332;0.000
12.000;1539.373;0.000;6.000;1446.570;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;17115.005;0.000
12.250;2401.312;0.000;8.000;2157.406;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;15704.594;0.000
12.500;1285.604;2016.851;9.000;1496.411;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;16466.905;0.000
12.750;752.714;0.000;8.000;1082.146;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;16911.752;0.000
13.000;2338.203;0.000;8.000;2126.613;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;15942.707;0.000
13.250;3658.389;1644.172;8.000;2995.764;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;15241.327;0.000
13.500;2732.491;6335.541;8.000;2385.323;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;15851.540;0.000
13.750;3047.064;0.000;7.000;2516.860;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;15780.476;0.000
14.000;3765.415;2959.509;5.000;2840.603;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;15615.598;0.000
14.250;3544.913;1994.928;5.000;2689.642;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;14958.989;0.000
14.500;1627.801;1534.560;5.000;1440.085;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;16222.638;0.000
14.750;1729.448;2148.384;4.000;1435.866;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;16742.155;0.000
15.000;1674.400;4055.623;4.000;1411.796;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;17112.583;0.000
15.250;743.418;1841.472;4.000;799.242;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;17745.410;0.000
15.500;963.101;3661.022;6.000;1075.403;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;17701.611;0.000
15.750;1669.139;2104.540;6.000;1554.636;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;17522.344;0.000
16.000;3758.575;6204.008;6.000;2950.697;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;16643.022;0.000
16.250;2169.703;7256.278;6.000;1909.222;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;17538.346;0.000
16.500;3576.994;5853.251;4.000;2674.478;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;17076.218;0.000
16.750;1532.851;1249.570;4.000;1328.309;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;18275.948;0.000
17.000;695.703;2214.151;5.000;846.869;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;18768.154;0.000
17.250;1828.939;0.000;5.000;1598.957;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;18216.668;0.000
17.500;886.328;0.000;5.000;978.006;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;18734.693;0.000
17.750;2656.862;0.000;7.000;2285.787;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;17753.513;0.000
18.000;3106.355;0.000;8.000;2680.069;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;17490.536;0.000
18.250;3983.158;0.000;9.000;3334.468;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;16985.620;0.000
18.500;3734.095;0.000;9.000;3148.365;0.000;0.000;0.130;0.000;True;0.000;True;0.000;True;0.114;False;0.000;True;0.002;False;0.014;False;0.000;True;17123.151;0.000
18.750;1294.190;2323.763;9.000;1552.359;0.000;0.000;0.016;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.002;False;0.014;False;0.000;True;18334.456;0.000
19.000;1155.012;0.000;9.000;1458.097;0.000;0.000;0.016;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.002;False;0.014;False;0.000;True;18384.320;0.000
19.250;2566.104;0.000;9.000;2401.336;0.000;0.000;0.016;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.002;False;0.014;False;0.000;True;17673.166;0.000
19.500;2470.862;0.000;9.000;2326.229;0.000;0.000;0.016;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.002;False;0.014;False;0.000;True;17751.070;0.000
19.750;1382.449;0.000;9.000;1615.991;0.000;0.000;0.016;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.002;False;0.014;False;0.000;True;18303.292;0.000
20.000;1397.247;1249.570;9.000;1622.710;0.000;0.000;0.016;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.002;False;0.014;False;0.000;True;18301.530;0.000
20.250;2309.718;3989.857;9.000;2218.458;0.000;0.000;0.016;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.002;False;0.014;False;0.000;True;17872.169;0.000
20.500;4734.150;4428.302;9.000;3845.087;0.000;0.000;0.016;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.002;False;0.014;False;0.000;True;16652.091;0.000
20.750;4605.150;1096.114;8.000;3672.561;0.000;0.000;0.016;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.002;False;0.014;False;0.000;True;16816.118;0.000
21.000;2753.247;0.000;15.000;2930.893;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;17394.535;0.000
21.250;2562.529;3792.556;15.000;2806.232;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;17467.618;0.000
21.500;952.271;3551.411;15.000;1742.135;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;18273.541;0.000
21.750;3391.709;3770.634;15.000;3364.220;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;17007.039;0.000
22.000;4091.618;5239.427;15.000;3817.596;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;16661.695;0.000
22.250;2663.366;2718.364;15.000;2881.447;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;17409.948;0.000
22.500;3492.208;5524.417;15.000;3388.203;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;17039.764;0.000
