timestep;elec;dhw;occ;gains;EV_carprofile;EV_carcharging_ondemand;ice_carprofile;ICE_fuel_car_0;Car_availability_car_0;ICE_fuel_car_1;Car_availability_car_1;ICE_fuel_car_2;Car_availability_car_2;ICE_fuel_car_3;Car_availability_car_3;ICE_fuel_car_4;Car_availability_car_4;ICE_fuel_car_5;Car_availability_car_5;ICE_fuel_car_6;Car_availability_car_6;ICE_fuel_car_7;Car_availability_car_7;ICE_fuel_car_8;Car_availability_car_8;heating;cooling
0.000;401.240;1797.628;14.000;1256.464;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;13651.056;0.000
0.250;330.316;0.000;14.000;1198.008;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;13555.863;0.000
0.500;431.398;0.000;14.000;1264.723;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;12949.408;0.000
0.750;555.036;0.000;14.000;1346.324;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;12494.727;0.000
1.000;496.700;0.000;14.000;1307.822;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;12151.120;0.000
1.250;505.307;0.000;14.000;1313.503;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;11804.063;0.000
1.500;318.059;2170.307;14.000;1189.919;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;11574.990;0.000
1.750;686.274;0.000;14.000;1432.941;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;11070.452;0.000
2.000;525.265;1753.783;14.000;1326.675;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;10857.449;0.000
2.250;504.431;0.000;14.000;1312.925;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;10608.771;0.000
2.500;495.824;0.000;14.000;1307.244;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;10367.674;0.000
2.750;473.000;0.000;14.000;1292.180;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;10146.132;0.000
3.000;401.627;0.000;14.000;1245.074;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;9961.280;0.000
3.250;627.062;0.000;14.000;1393.861;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;9698.584;0.000
3.500;600.855;0.000;14.000;1376.564;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;9579.097;0.000
3.750;441.697;0.000;14.000;1271.520;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;9537.765;0.000
4.000;473.000;0.000;14.000;1292.180;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;9407.236;0.000
4.250;514.966;2082.617;14.000;1319.878;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;9287.457;0.000
4.500;432.274;0.000;14.000;1265.301;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;9241.572;0.000
4.750;432.274;0.000;14.000;1265.301;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;9160.766;0.000
5.000;600.855;0.000;14.000;1376.564;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;9000.843;0.000
5.250;318.059;0.000;14.000;1189.919;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;9089.739;0.000
5.500;675.976;1709.939;14.000;1426.144;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;8850.282;0.000
5.750;744.881;0.000;14.000;1472.248;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;8770.670;0.000
6.000;446.176;0.000;14.000;1275.103;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;8887.206;0.000
6.250;587.215;0.000;14.000;1367.562;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;8758.400;0.000
6.500;353.891;0.000;14.000;1218.585;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;8828.564;0.000
6.750;387.684;0.000;14.000;1244.019;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;8764.918;0.000
7.000;874.263;10106.175;14.000;1574.571;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;8467.004;0.000
7.250;492.985;7497.423;14.000;1313.992;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;8619.113;0.000
7.500;750.604;10873.455;14.000;1495.830;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;8421.477;0.000
7.750;735.578;3332.188;14.000;1498.077;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;8373.143;0.000
8.000;2541.938;1666.094;8.000;2305.820;0.000;0.000;0.315;0.040;False;0.000;True;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;7689.811;0.000
8.250;2948.763;5414.805;6.000;2456.175;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;7531.581;0.000
8.500;2815.856;0.000;8.000;2495.722;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;7455.220;0.000
8.750;2407.284;8725.071;8.000;2227.213;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;7624.217;0.000
9.000;1309.220;0.000;8.000;1505.774;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;8153.841;0.000
9.250;1000.371;0.000;7.000;1235.061;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;8070.714;0.000
9.500;960.452;1556.482;6.000;1131.526;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;7848.178;0.000
9.750;3398.197;0.000;5.000;2666.234;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;6313.617;0.000
10.000;3056.201;0.000;6.000;2495.833;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;6198.012;0.000
10.250;1005.969;0.000;4.000;1010.630;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;7358.481;0.000
10.500;799.051;3156.810;4.000;839.068;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;6952.497;0.000
10.750;595.261;0.000;4.000;700.034;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;6672.779;0.000
11.000;455.351;1468.793;3.000;529.753;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;6444.937;0.000
11.250;764.490;0.000;3.000;730.245;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;6145.923;0.000
11.500;568.155;0.000;3.000;598.304;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;6102.358;0.000
11.750;498.505;1819.550;3.000;552.335;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;5984.742;0.000
12.000;532.034;1424.949;4.000;650.364;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;5752.955;0.000
12.250;569.567;0.000;2.000;535.135;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;5172.636;0.000
12.500;693.204;1030.348;2.000;616.736;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;5335.774;0.000
12.750;687.563;1885.317;2.000;607.113;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;5480.526;0.000
13.000;762.849;0.000;2.000;643.480;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;5343.290;0.000
13.250;2036.173;2411.452;2.000;1483.874;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;4669.484;0.000
13.500;378.255;4515.991;1.000;319.649;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;5730.782;0.000
13.750;378.255;0.000;2.000;389.649;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;5728.154;0.000
14.000;596.096;0.000;2.000;533.423;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;5717.153;0.000
14.250;769.075;0.000;2.000;647.589;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;5022.339;0.000
14.500;928.031;1994.928;4.000;892.501;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;5106.837;0.000
14.750;502.229;6269.775;4.000;611.471;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;5786.257;0.000
15.000;796.663;4647.525;4.000;817.155;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;5926.761;0.000
15.250;830.792;0.000;3.000;765.577;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;6111.638;0.000
15.500;3521.579;6160.163;4.000;2612.038;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;4799.269;0.000
15.750;729.095;3397.955;5.000;845.864;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;6352.044;0.000
16.000;960.476;4033.701;6.000;1081.556;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;6303.613;0.000
16.250;2787.035;5064.049;6.000;2302.190;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;5411.852;0.000
16.500;1316.239;3924.090;6.000;1354.860;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;6277.639;0.000
16.750;2672.478;4757.137;7.000;2301.624;0.000;0.000;0.319;0.040;False;0.004;False;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;5642.313;0.000
17.000;2901.129;0.000;12.000;2820.014;0.000;0.000;0.315;0.040;False;0.000;True;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;5335.985;0.000
17.250;3708.463;1381.104;12.000;3367.402;0.000;0.000;0.315;0.040;False;0.000;True;0.000;True;0.051;False;0.000;True;0.000;True;0.164;False;0.000;True;0.061;False;4904.836;0.000
