timestep;elec;dhw;occ;gains;EV_carprofile;EV_carcharging_ondemand;ice_carprofile;ICE_fuel_car_0;Car_availability_car_0;ICE_fuel_car_1;Car_availability_car_1;ICE_fuel_car_2;Car_availability_car_2;ICE_fuel_car_3;Car_availability_car_3;ICE_fuel_car_4;Car_availability_car_4;ICE_fuel_car_5;Car_availability_car_5;ICE_fuel_car_6;Car_availability_car_6;ICE_fuel_car_7;Car_availability_car_7;ICE_fuel_car_8;Car_availability_car_8;heating;cooling
0.000;283.161;1578.405;17.000;1376.886;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;12655.372;0.000
0.250;400.472;0.000;17.000;1454.311;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;12549.327;0.000
0.500;559.531;0.000;17.000;1559.290;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;11873.079;0.000
0.750;461.397;0.000;17.000;1494.522;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;11516.863;0.000
1.000;376.599;1205.726;17.000;1438.555;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;11171.580;0.000
1.250;468.631;0.000;17.000;1499.297;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;10768.717;0.000
1.500;379.009;0.000;17.000;1440.146;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;10479.614;0.000
1.750;283.161;0.000;17.000;1376.886;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;10209.273;0.000
2.000;367.959;2016.851;17.000;1432.853;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;9859.933;0.000
2.250;283.161;0.000;17.000;1376.886;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;9642.605;0.000
2.500;372.784;1622.249;17.000;1436.037;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;9346.627;0.000
2.750;400.472;0.000;17.000;1454.311;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;9097.171;0.000
3.000;659.300;0.000;17.000;1630.239;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;8733.673;0.000
3.250;727.915;0.000;17.000;1673.931;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;8553.142;0.000
3.500;430.735;0.000;17.000;1476.198;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;8574.726;0.000
3.750;510.305;0.000;17.000;1529.097;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;8406.822;0.000
4.000;456.939;0.000;17.000;1491.580;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;8324.125;0.000
4.250;367.317;0.000;17.000;1432.429;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;8273.305;0.000
4.500;283.161;0.000;17.000;1376.886;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;8229.378;0.000
4.750;367.959;0.000;17.000;1432.853;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;8106.048;0.000
5.000;283.161;0.000;17.000;1376.886;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;8081.057;0.000
5.250;580.475;2411.452;17.000;1573.113;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;7867.530;0.000
5.500;737.124;0.000;17.000;1676.502;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;7736.518;0.000
5.750;494.605;0.000;17.000;1521.088;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;7816.594;0.000
6.000;716.644;0.000;17.000;1711.801;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;7625.938;0.000
6.250;388.310;0.000;17.000;1446.284;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;7785.745;0.000
6.500;487.041;0.000;17.000;1512.722;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;7683.836;0.000
6.750;2186.055;0.000;17.000;2635.347;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;6748.844;0.000
7.000;2089.189;4691.370;17.000;2571.864;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;6765.556;0.000
7.250;695.643;3880.245;17.000;1654.579;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;7431.772;0.000
7.500;589.523;7343.967;17.000;1583.024;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;7427.922;0.000
7.750;2363.190;9031.983;17.000;2766.148;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;6439.673;0.000
8.000;630.922;9799.263;7.000;925.864;0.000;0.000;0.320;0.023;False;0.036;False;0.000;True;0.000;True;0.052;False;0.000;True;0.000;True;0.000;True;0.208;False;7868.393;0.000
8.250;585.665;7848.179;4.000;692.206;0.000;0.000;0.320;0.023;False;0.036;False;0.000;True;0.000;True;0.052;False;0.000;True;0.000;True;0.000;True;0.208;False;8005.009;0.000
8.500;722.125;11903.803;4.000;789.501;0.000;0.000;0.320;0.023;False;0.036;False;0.000;True;0.000;True;0.052;False;0.000;True;0.000;True;0.000;True;0.208;False;7904.304;0.000
8.750;931.528;1819.550;5.000;994.745;0.000;0.000;0.320;0.023;False;0.036;False;0.000;True;0.000;True;0.052;False;0.000;True;0.000;True;0.000;True;0.208;False;7723.265;0.000
9.000;1192.327;0.000;6.000;1287.181;0.000;0.000;0.320;0.023;False;0.036;False;0.000;True;0.000;True;0.052;False;0.000;True;0.000;True;0.000;True;0.208;False;7474.256;0.000
9.250;944.182;1249.570;6.000;1090.415;0.000;0.000;0.320;0.023;False;0.036;False;0.000;True;0.000;True;0.052;False;0.000;True;0.000;True;0.000;True;0.208;False;7406.033;0.000
9.500;720.705;3836.401;6.000;948.575;0.000;0.000;0.320;0.023;False;0.036;False;0.000;True;0.000;True;0.052;False;0.000;True;0.000;True;0.000;True;0.208;False;7278.011;0.000
