timestep;MFH_A_0;MFH_A_1;MFH_A_2;MFH_B_0;MFH_B_1;MFH_B_2;MFH_C_0;MFH_C_1;MFH_C_2;MFH_D_0;MFH_D_1;MFH_D_2;MFH_E_0;MFH_E_1;MFH_E_2;MFH_F_0;MFH_F_1;MFH_F_2;MFH_G_0;MFH_G_1;MFH_G_2;MFH_H_0;MFH_H_1;MFH_H_2;MFH_I_0;MFH_I_1;MFH_I_2;MFH_J_0;MFH_J_1;MFH_J_2
8369.5;2539.203;4170.592;2694.726;3051.653;2036.651;3748.581;3688.838;3819.895;2183.371;1895.587;3285.295;2543.562;1063.861;1430.894;1702.325;732.547;3371.753;4337.133;1474.894;2572.049;5381.721;1491.543;1290.107;4086.222;6263.826;6500.049;4106.741;1042.448;3371.143;1045.047
8369.75;1029.0;1220.24;4282.436;4772.404;2672.717;2359.107;6397.202;4136.607;4668.444;2751.074;1731.689;2107.927;1076.201;983.053;1973.761;867.172;4708.917;4701.816;1044.572;2004.926;3762.54;2677.849;2905.545;4979.694;4808.018;4325.11;2553.526;1249.257;4261.812;3205.147
8370.0;5850.963;954.863;3246.256;6286.599;3429.847;2936.37;6813.627;3031.003;6008.676;973.294;3679.521;2741.071;1044.154;3929.165;2079.241;664.419;2443.227;2785.714;3089.84;2044.857;5721.483;1904.383;1232.925;6977.917;3153.472;2544.677;1231.672;1435.545;2558.997;1235.253
8370.25;1058.417;1475.193;1671.354;3948.339;1333.497;6331.017;2247.092;2964.725;3485.519;1376.675;3852.122;3454.892;3729.419;4020.26;2067.994;4024.734;3420.11;2535.586;3642.077;1772.173;6638.542;2029.42;1127.739;4527.537;1313.497;1389.331;1112.8;1221.799;2766.621;1286.609
8370.5;917.015;1251.725;1608.595;4179.958;1284.818;5626.28;1878.949;5729.24;3478.398;1520.233;2169.371;2624.66;2689.41;871.542;1811.934;3051.285;4325.37;4229.873;3586.008;1492.605;4833.219;4527.405;1343.442;3125.824;5713.227;2478.895;2057.061;1239.372;3744.261;1275.046
8370.75;781.581;857.167;3921.702;1281.253;3774.105;5492.733;1972.238;8055.538;5241.748;1152.078;2177.011;6161.486;3163.653;3580.396;854.575;1057.495;4616.519;3539.669;4983.401;2575.959;2163.694;2822.494;993.072;1055.438;5884.926;2350.453;3387.761;3124.676;3404.332;4736.654
8371.0;1686.936;833.85;2857.212;2271.932;974.508;4414.02;3482.915;7132.603;6094.69;2596.04;4186.959;5070.607;2634.54;4493.8;1034.7;1017.622;1301.272;2386.681;1471.794;3908.45;1697.296;1105.173;1045.737;2268.408;1288.535;2115.275;3482.943;1119.673;4371.463;4618.821
8371.25;2766.911;4055.464;985.947;1435.813;1472.688;2206.006;6468.244;6415.287;4692.75;1583.432;4706.52;7713.87;3748.526;6481.012;715.459;874.28;4523.152;2958.21;3756.903;5060.721;2606.962;3801.765;1179.543;4525.377;6052.876;2259.451;1473.759;1506.278;2817.801;1342.531
8371.5;4301.076;995.763;3566.814;1992.976;2195.981;2450.391;5114.821;3984.279;6423.593;1785.762;3792.27;7484.831;1072.486;7016.949;770.649;3870.657;3394.416;5675.072;915.932;3204.379;1719.482;4978.625;1211.007;5093.853;6108.686;3899.505;1189.351;1089.186;6731.24;1525.977
8371.75;4081.248;889.344;3361.991;3338.461;4257.596;2270.144;5037.236;4472.884;4544.083;1674.197;4390.652;5289.812;2944.96;4573.821;1535.908;3223.219;1153.614;4069.245;2371.951;5480.755;1817.042;5055.102;986.337;1243.425;2711.368;1455.944;1344.594;3020.666;6357.981;4090.651
