timestep;MFH_A_0;MFH_A_1;MFH_A_2;MFH_B_0;MFH_B_1;MFH_B_2;MFH_C_0;MFH_C_1;MFH_C_2;MFH_D_0;MFH_D_1;MFH_D_2;MFH_E_0;MFH_E_1;MFH_E_2;MFH_F_0;MFH_F_1;MFH_F_2;MFH_G_0;MFH_G_1;MFH_G_2;MFH_H_0;MFH_H_1;MFH_H_2;MFH_I_0;MFH_I_1;MFH_I_2;MFH_J_0;MFH_J_1;MFH_J_2
5.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8.25;13.84;13.84;13.84;10.87;10.87;10.87;16.24;16.24;16.24;18.53;18.53;18.53;10.24;10.24;10.24;15.24;15.24;15.24;12.52;12.52;12.52;10.57;10.57;10.57;11.21;11.21;11.21;8.85;8.85;8.85
8.5;27.7;27.7;27.7;21.75;21.75;21.75;32.51;32.51;32.51;37.08;37.08;37.08;20.49;20.49;20.49;30.5;30.5;30.5;25.06;25.06;25.06;21.16;21.16;21.16;22.43;22.43;22.43;17.72;17.72;17.72
8.75;41.58;41.58;41.58;32.65;32.65;32.65;48.8;48.8;48.8;55.66;55.66;55.66;30.75;30.75;30.75;45.78;45.78;45.78;37.62;37.62;37.62;31.77;31.77;31.77;33.67;33.67;33.67;26.6;26.6;26.6
9.0;55.47;55.47;55.47;43.55;43.55;43.55;65.09;65.09;65.09;74.24;74.24;74.24;41.02;41.02;41.02;61.07;61.07;61.07;50.18;50.18;50.18;42.37;42.37;42.37;44.91;44.91;44.91;35.49;35.49;35.49
9.25;315.97;315.97;315.97;248.09;248.09;248.09;370.8;370.8;370.8;422.93;422.93;422.93;233.67;233.67;233.67;347.9;347.9;347.9;285.86;285.86;285.86;241.37;241.37;241.37;255.82;255.82;255.82;202.16;202.16;202.16
9.5;591.09;591.09;591.09;464.09;464.09;464.09;693.65;693.65;693.65;791.18;791.18;791.18;437.13;437.13;437.13;650.81;650.81;650.81;534.76;534.76;534.76;451.53;451.53;451.53;478.56;478.56;478.56;378.17;378.17;378.17
9.75;880.83;880.83;880.83;691.59;691.59;691.59;1033.67;1033.67;1033.67;1179.01;1179.01;1179.01;651.41;651.41;651.41;969.82;969.82;969.82;796.89;796.89;796.89;672.86;672.86;672.86;713.14;713.14;713.14;563.55;563.55;563.55
10.0;1136.53;1136.53;1136.53;892.35;892.35;892.35;1333.75;1333.75;1333.75;1521.27;1521.27;1521.27;840.52;840.52;840.52;1251.36;1251.36;1251.36;1028.23;1028.23;1028.23;868.2;868.2;868.2;920.17;920.17;920.17;727.15;727.15;727.15
10.25;2797.15;2797.15;2797.15;2196.2;2196.2;2196.2;3282.53;3282.53;3282.53;3744.04;3744.04;3744.04;2068.62;2068.62;2068.62;3079.77;3079.77;3079.77;2530.6;2530.6;2530.6;2136.74;2136.74;2136.74;2264.65;2264.65;2264.65;1789.6;1789.6;1789.6
